,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Cote d'Ivoire,3.3,197.2,3.3,3.8,227.1,3.8,5.0,293.5,5.0,10.3,607.9,10.3,13.8,813.3,13.8,13.9,817.6,13.9,13.7,808.3,13.7,19.0,1120.6,19.0,27.0,1594.2,27.0,33.1,1953.6,33.1,36.5,2153.2,36.5,40.8,2408.8,40.8,49.2,2902.9,49.2,63.6,3753.3,63.6,75.9,4475.9,75.9,86.5,5101.0,86.5,94.8,5593.3,94.8,105.6,6230.4,105.6,114.1,6734.7,114.1,121.6,7176.8,121.6,127.8,7538.1,127.8,131.5,7756.3,131.5
Cabo Verde,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,2.8,0.0,0.1,3.6,0.1,0.1,3.7,0.1,0.1,4.4,0.1,0.1,5.9,0.1,0.1,7.3,0.1,0.1,8.8,0.1,0.2,8.9,0.2,0.2,9.9,0.2,0.2,10.2,0.2,0.2,11.1,0.2,0.2,11.1,0.2
Cambodia,0.3,17.1,0.3,0.3,15.6,0.3,0.3,19.8,0.3,0.5,27.3,0.5,0.5,31.0,0.5,0.6,38.2,0.6,0.7,40.4,0.7,0.6,37.7,0.6,0.6,36.8,0.6,0.7,41.2,0.7,0.8,47.3,0.8,1.1,62.1,1.1,1.5,89.4,1.5,2.6,151.2,2.6,3.3,195.0,3.3,3.7,216.8,3.7,4.0,236.0,4.0,4.4,256.9,4.4,4.7,278.2,4.7,5.1,303.5,5.1,5.6,329.2,5.6,5.9,350.0,5.9
Cameroon,29.7,1753.6,29.7,31.4,1852.2,31.4,31.7,1868.6,31.7,29.2,1720.8,29.2,29.4,1735.3,29.4,31.1,1836.9,31.1,32.7,1931.5,32.7,39.4,2327.3,39.4,45.7,2697.1,45.7,55.2,3257.1,55.2,64.1,3784.4,64.1,72.4,4272.5,72.4,83.3,4916.8,83.3,85.3,5033.3,85.3,90.0,5311.3,90.0,91.7,5412.5,91.7,94.4,5568.3,94.4,94.1,5549.3,94.1,93.9,5539.4,93.9,91.5,5398.2,91.5,86.9,5128.6,86.9,80.3,4736.8,80.3
Canada,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.3,0.0,0.3
Central African Republic,4.0,233.9,4.0,5.1,299.3,5.1,5.8,344.0,5.8,7.3,430.0,7.3,7.3,431.9,7.3,6.6,391.9,6.6,9.1,537.1,9.1,11.8,697.0,11.8,13.0,767.6,13.0,12.9,760.2,12.9,14.1,834.1,14.1,15.7,926.2,15.7,17.4,1027.6,17.4,19.4,1147.1,19.4,20.7,1223.7,20.7,22.6,1335.4,22.6,25.1,1482.2,25.1,26.6,1569.9,26.6,27.9,1647.7,27.9,29.0,1713.6,29.0,30.0,1770.8,30.0,30.6,1805.5,30.6
Chad,6.7,395.5,6.7,6.7,396.1,6.7,7.2,423.5,7.2,9.6,565.7,9.6,11.3,668.1,11.3,11.6,681.7,11.6,11.7,690.5,11.7,12.0,709.9,12.0,14.8,873.4,14.8,17.5,1032.6,17.5,19.3,1136.6,19.3,20.4,1204.2,20.4,21.6,1276.8,21.6,22.6,1332.5,22.6,23.7,1398.4,23.7,24.4,1439.9,24.4,25.0,1472.8,25.0,26.0,1531.5,26.0,27.4,1618.7,27.4,26.8,1582.6,26.8,27.2,1604.8,27.2,27.3,1610.4,27.3
Chile,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.0,1.2,1.0,0.0,7.1,0.0,0.0,2.2,0.0,0.0,3.8,0.0,0.0,2.3,0.0,0.0,4.3,0.0,0.0,2.2,0.0,0.0,1.1,0.0,0.0,3.8,0.0,0.0,6.1,0.0,0.0,5.7,0.0,0.0,3.8,0.0
China,2.0,118.3,2.0,2.3,137.6,2.3,2.7,158.6,2.7,3.0,176.7,3.0,2.8,167.8,2.8,3.0,176.6,3.0,2.6,156.2,2.6,4.1,242.6,4.1,4.8,281.6,4.8,4.7,276.2,4.7,5.4,318.4,5.4,6.6,391.6,6.6,9.3,548.1,9.3,10.5,620.4,10.5,10.8,637.0,10.8,10.4,614.6,10.4,10.8,635.1,10.8,10.9,643.2,10.9,10.9,645.9,10.9,10.9,641.6,10.9,10.7,632.5,10.7,10.2,603.9,10.2
Colombia,0.0,10.9,0.0,0.0,11.2,0.0,0.0,11.6,0.0,0.0,11.9,0.0,0.0,12.4,0.0,0.0,12.8,0.0,0.0,19.9,0.0,0.0,12.2,0.0,0.0,9.2,0.0,0.0,22.2,0.0,0.0,26.7,0.0,1.6,29.1,1.6,0.0,36.1,0.0,1.3,25.2,1.3,0.0,49.7,0.0,0.0,44.8,0.0,0.0,58.1,0.0,0.0,66.9,0.0,0.0,68.2,0.0,0.0,45.8,0.0,4.0,47.5,4.0,8.6,43.7,8.6
